TRANSLATION_NAME,"Česky"
SNAP_ROLL,"Výkrut"
TEST_MIX,"Testovací mix"
DELAY_UP,"Zpoždění nahoru"
DELAY_MID,"Zpoždení stredu"
DELAY_DOWN,"Zpoždění dolu"
NO_DELAY,"Žádné zpoždění"
V_TAIL,"V Tail"
DATA_REFUSED,"Data odmítnuta"
DEVICE_NOT_RESPONDING,"Zařízení neodpovídá"
NO_OUTPUT,"Žádný výstup"
WEIGHT_RATES,"Váha / Rates"
OTHERWISE,"Jinak"
AUTO,"Auto"
TRIM_STEP_FINE,"Jemný"
TRIM_STEP_COARSE,"Hrubý"
TRIM_STEP_EXPONENTIAL,"Exponenciální"
TRIM_STEP_EXTRA_FINE,"Extra jemný"
TRIM_STEP_MEDIUM,"Střední"
TRIM_STEP_CUSTOM,"Vlastní"
SCREENSHOT,"Screenshot"
SILENT,"Tichý"
ALARMS_ONLY,"Pouze alarmy"
OFTEN,"Častý"
ALWAYS,"Stále"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"Při streamování telemetrie"
VOICE1,"Hlas 1 (Hlavní)"
VOICE2,"Hlas 2"
VOICE3,"Hlas 3"
NEGATIVE,"Negativní"
POSITIVE,"Pozitivní"
THROTTLE_HOLD,"Držet plyn"
TRIGGER_VALUE,"Hodnota akt."
IDLE_OUTPUT_VALUE,"Hodnota vyp. plynu"
LOW_POSITION_TRIM,"Trim nízkého plynu"
AND,"AND"
OR,"OR"
XOR,"XOR"
SENSORS,"Senzory"
RECEIVERS,"Receivers"
SERVOS,"Servos"
FLIGHT_SAFETY,"Flight safety"
VARIOMETER,"Variometer"
ALARMS,"Alarmy"
SENSOR,"Senzor"
RX_BATT,"RxBatt"
RX_CURRENT,"RxProud"
ALTITUDE,"Výška"
VSPEED,"Vert. rychlost"
SELECT_LANGUAGE,"Výběr jazyka"
ONCE,"Jednou"
FLIGHT_DATA,"Letové údaje"
ALL_TIMERS,"Všechny stopky"
WHOLE_TELEMETRY,"Celou telemetrii"
REPEAT,"Opakovat"
WAV_FILE,"Soubor wav"
BUTTERFLY,"Butterfly"
CAMBER,"Camber"
PITCH_TO_RUD,"Kol do Vrt"
MISSING_BASIC_MIX,"Chybí základní mix"
MISSING_ENOUGH_CHANNEL,"Není dostatek kanálů k dispozici"
NOT_SUIT_FOR_THIS_MODEL,"Tento mix není vhodný pro Váš model"
THR_TO_ELE,"Plyn do Výšk"
THR_TO_RUD,"Plyn do Směr"
TEMPERATURE,"Teplota"
DATA_RATE,"Rychlost přenosu dat"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Reset průtoku"
CDI_OFF_SPEED_LIMIT,"Limit rychlosti vypnutí CDI"
FLOW_PULSE,"Puls průtoku"
AUTO_RESET,"Auto reset"
RESET_RESIDUAL_VOLUME,"Reset zbytkového objemu"
RESET_MAX_FLOW,"Reset max průtoku"
RESET_AVERAGE_FLOW,"Reset prům. průtoku"
VOLUME_ALARM,"Alarm objemu"
MAX_FLOW_ALARM,"Alarm max průtoku"
OVER_SPEED_ALARM,"Alarm vysoké rychlosti"
FLOW_TRIGGER,"Spoušť průtoku"
FACTORY_SETTING,"Tovární nastavení"
OVER_TEMP1_ALARM,"Alarm vysoké temp1"
OVER_TEMP2_ALARM,"Alarm vysoké temp2"
TEMPERATURE_UNIT,"Stupňů teploty"
AUTO_SAVE,"Auto ukládání"
GPS_POSITION_DATA_RATE,"Rychlost dat pozice GPS"
GPS_ALTITUDE_DATA_RATE,"Rychlost dat výšky GPS"
GPS_SPEED_DATA_RATE,"Rychlost dat rychlosti GPS"
GPS_COURSE_DATA_RATE,"Rychlost dat kurzu GPS"
GPS_TIME_DATA_RATE,"Rychlost dat času GPS"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Výchozí let. režim"
SKIP_ON_STARTUP,"Přeskočit při startu"
LOW_VALUE_WARNING,"Alarm nízké hodnoty"
CRITICAL_VALUE,"Alarm kritické hodnoty"
UPGRADE_MODULE,"Aktualizace modulu"
AUTHENTICATION_FAILURE,"Selhání autentizace"
MODULE_NEEDS_UPGRADE,"Module potřebuje aktualizaci"
CLEAR,"Vymazat"
MIX_SWITCH_DESCRIPTION,"Zvolte přepínač k aktivaci/deaktivaci mixu"
MIX_WEIGHT_DESCRIPTION,"Násobitel v % je aplikován na příchozí zdroj k určení výstupní hodnoty mixu"
MIX_CURVE_DESCRIPTION,"Zvolte křivku pro mix"
MIX_DIFFERENTIAL_DESCRIPTION,"Vyberte velikost rozdílového pohybu pro kanály"
MIX_OUTPUT_DESCRIPTION,"Vyberte kanál, který má být tímto mixerem ovlivněn"
MIX_INPUT_DESCRIPTION,"Vyberte zdroj ovládání tohoto mixu"
MIX_OPERATION_DESCRIPTION,"Vyberte typ funkce tohoto mixu: Přidat, Násobit nebo Zaměnit"
MIX_REVERSE_DESCRIPTION,"Otočit směr ovládání"
MIX_OFFSET_DESCRIPTION,"Vyberte velikost offsetu od středu"
MIX_WEIGHTUP_DESCRIPTION,"Vyberte rozsah pohybu nahoru"
MIX_WEIGHTDOWN_DESCRIPTION,"Vyberte rozsah pohybu dolu"
MIX_SPEEDUP_DESCRIPTION,"Vyberte hodnotu zrychlení"
MIX_SPEEDDOWN_DESCRIPTION,"Vyberte hodnotu zpomalení"
MIX_LOWPOSTRIM_DESCRIPTION,"Trim pouze pro nízkou polohu plynu"
HELI_PITCH,"Kolektiv"
HELI_GYRO,"Gyro"
MISSING_THROTTLE,"Váš model nemá žádné škrticí klapky"
SIX_POSITIONS_SWITCH,"6-POS přepínač"
GYRO_X_AXIS,"Gyro osa X"
GYRO_Y_AXIS,"Gyro osa Y"
GYRO_LEFT,"Gyro Left"
GYRO_RIGHT,"Gyro Right"
GYRO_UP,"Gyro Up"
GYRO_DOWN,"Gyro Down"
AILERON_LETTER,"K"
RUDDER_LETTER,"S"
ELEVATOR_LETTER,"V"
THROTTLE_LETTER,"P"
NOT,"NOT"
STICKY,"Sticky"
EDGE,"Edge"
MIDDLE,"Střed"
NO_CHECK,"Bez kontroly"
CUSTOM,"Vlastní"
HOLD,"Držet"
NO_PULSES,"Bez pulzů"
NOT_SET,"Nenastaveno"
NO_ENGINE,"Bez motoru"
NO_FLAPS,"Bez klapek"
NO_RUDDERS,"Bez směrovky"
NO_ELEVATORS,"Bez výškovky"
NO_AILERONS,"Bez křidélek"
CHANNELS_1,"1 kanál"
CHANNELS_2,"2 kanály"
CHANNELS_3,"3 kanály"
CHANNELS_4,"4 kanály"
BEEP,"Beep"
IN_RANGE,"v dosahu"
REPLACE,"Nahradit"
USE_A_SOURCE,"Použít zdroj"
CONVERT_TO_VALUE,"Změnit na hodnotu"
SPECIAL,"Speciál"
MAXIMUM,"Maximum"
MINIMUM,"Minimum"
MOMENTARY,"Moment"
TWO_POS,"2-Poz"
THREE_POS,"3-Poz"
GYRO_CALIBRATION_PLACE_LEVEL,"Umístěte rádio do roviny a po dokončení klikněte na Hotovo"
GYRO_CALIBRATION_LEFT,"Nakloňte rádio do LEVA a po dokončení klikněte na Hotovo"
GYRO_CALIBRATION_RIGHT,"Nakloňte rádio do PRAVA a po dokončení klikněte na Hotovo"
GYRO_CALIBRATION_NOSE_UP,"Nakloňte rádio NAHORU a po dokončení klikněte na Hotovo"
GYRO_CALIBRATION_NOSE_DOWN,"Nakloňte rádio DOLU a po dokončení klikněte na Hotovo"
DEFAULT,"Výchozí"
STRENGTH,"Síla"
AM,"dop"
PM,"odp"
PLAY_VARIO,"Zvuk vária"
RF_ALWAYS_OFF,"Speciální režim, RF bude vždy vypnuto."
STAB_FUNC,"Funkce stabilizace"
RX_PROTOCOL,"RX protokol"
NO_MAP,"Bez mapovaní"
DIRECTION,"Směr"
CLOCKWISE,"Dopředu"
ANTICLOCKWISE,"Opačně"
PWM_PULSE_TYPE,"Typ PWM pulzu"
BASIC_CONFIG,"Základní nast."
RX1_MAP,"RX1 Map"
RX2_MAP,"RX2 Map"
RX3_MAP,"RX3 Map"
ALL_FREQUENCY,"Všechny frekvence"
STICKS_NAME,"Názvy pák"
CHANNELS_COUNT,"Počet kanálů"
EXT,"Ext"
INT,"Int"
PLACE_RECEIVER_LEVEL,"Položte přijímač do roviny."
PLACE_RECEIVER_LEVEL_REVERSE,"Položte přijímač opačně."
PLACE_RECEIVER_LEFT,"Položte přijímac na levou stranu."
PLACE_RECEIVER_RIGHT,"Položte přijímac na pravou stranu."
PLACE_RECEIVER_FORWARD,"Položte přijímac na přední stranu."
PLACE_RECEIVER_BACKWARD,"Položte přijímac na zadní stranu."
ADD_A_NEW_WEIGHT,"+ Přidat váhu"
ADD_A_NEW_CURVE,"+ Přidat křivku"
AUDIO,"Audio"
VOICE,"Hlas"
VAR,"Var"
VOLUME,"Objem"
SAVE_TO_FLASH,"Uložit do paměti"
SAVE_TO_FLASH_MESSAGE,"Všechna nastavení byla uspěšně uložena do paměti!"
TIMER_GENERATOR,"Časový generátor"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Kanál %d není použit v žádnem mixu.\nChcete smazat jeho jméno?"
EDIT_SSS,"Upravit %s"
RESET_SSS,"%s Reset"
OPTIONS_3DOTS,"Možnosti..."
QUESTION_COPY_CHANNEL_NAME,"Kánal nemá název.\nChcete zkopírovát název mixéru do kanálu?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Letadlo normál"
WING_FLYING,"Delta"
WING_VTAIL_AIL,"Letadlo VTail"
LEVEL,"Horizontál"
LEVEL_REVERSED,"Horizontál revers"
UPRIGHT,"Vertikál"
UPRIGHT_REVERSED,"Vertikál revers"
WING_TYPE,"Typ křídla"
MOUNTING_TYPE,"Způsob montáže"
SXR_ENABLE,"Zapnutí stabilizace"
AIL_INVERTED,"Inverze křid"
AIL2_INVERTED,"Inverze křid2"
ELE_INVERTED,"Inverze výšk"
ELE2_INVERTED,"Inverze výšk2"
RUD_INVERTED,"Inverze směr"
AUX1_ENABLE,"Zapnutí AUX1"
AUX2_ENABLE,"Zapnutí AUX2"
QUICK_MODE,"Quick Mode"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Zisk stab křidélek"
STAB_GAIN_OF_ELE,"Zisk stab výškovky"
STAB_GAIN_OF_RUD,"Zisk stab šmerovky"
AUTO_LEVEL_GAIN_OF_AIL,"Zisk level křidélek"
AUTO_LEVEL_GAIN_OF_ELE,"Zisk level výškovky"
HOVER_GAIN_OF_ELE,"Zisk svíčka výškovky"
HOVER_GAIN_OF_RUD,"Zisk svíčka směrovky"
KNIFE_EDGE_GAIN_OF_AIL,"Zisk nožák kridélek"
KNIFE_EDGE_GAIN_OF_RUD,"Zisk nožák směrovky"
AUTO_LEVEL_OFFSET_OF_AIL,"Offset úhlu level křidélek"
AUTO_LEVEL_OFFSET_OF_ELE,"Offset úhlu level výškovky"
HOVER_OFFSET_ANGLE_OF_ELE,"Offset úhlu svíčka výškovky"
HOVER_OFFSET_ANGLE_OF_RUD,"Offset úhlu svíčka směrovky"
KNIFE_EDGE_OFFSET_OF_AIL,"Offset úhlu nožák křidélek"
KNIFE_EDGE_OFFSET_OF_RUD,"Offset úhlu nožák směrovky"
OUTPUT_VOLTAGE,"Výstupní napětí"
LIPO_VOLTAGE,"Napětí Lipo"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Obnovovací frekvence výšky"
VARIO_DATA_RATE,"Obnovovací frekvence Vspd"
CURRENT_DATA_RATE,"Obnovovací frekvence proudu"
VOLTAGE_DATA_RATE,"Obnonovcí frekvence napětí"
RPM,"RPM"
POLES_COUNT,"Počet pólů"
NEED_FIRMWARE_UPDATE,"Nutnost aktualizace firmware"
SYSTEM_VALUE,"Systémová hodnota"
GPS_CLOCK,"Datum Čas GPS"
RACING_MODE_ACTIVE,"Aktivován zavodní mód."
RACING_MODE_IS_UNSUPPORTED,"Závodní mód není podporován."
POTS_SLIDERS,"Pot / Slidery"
STICKS_POTS_SLIDERS,"Páky / Pot / Slidery"
WRITE_INTERVAL,"Interval zápisu"
TX_BATT,"TxBatt"
AVERAGE,"Průměr"
TOTALIZE,"Souhrn"
CELL,"Článek"
CONSUMPTION,"Spotřeba"
DISTANCE,"Vzdálenost"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓Pulz %s mezi %s a %s"
RISING_EDGE_OF_SSS_DURING_SSS,"↑Edge %s během %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓Edge %s během %s"
FALLING_EDGE_OF_SSS,"↓Edge %s"
RISING_EDGE_OF_SSS,"↑Edge %s"
STALL,"Stall"
EDITABLE_SRV_DDD_CURR,"SRV%d Proud"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Tepl"
CONDITION,"Podmínka"
TIMER_LOGS,"Logy stopek"
SAVE_TO_SD,"Uložit na SD"
CLEAR_LOGS,"Vymazat logy"
TITLE,"Název"
LOWEST,"Nejnižší"
COUNT,"Počet"
HIGHEST,"Nejvyšší"
BLADES,"Listy"
MAINGEAR_TEETH,"Zuby hl. kola"
PINION_TEETH,"Zuby pastorku"
GEAR,"Převodový poměr"
PROPELLER,"Vrtule"
FLIGHT_VALUE,"Hodnota L.R."
CURRENT_FLIGHT_MODE,"Aktuální L.R."
NO_DESTINATION,"Bez cíle"
ENT_LONG,"ENT dlouze"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Přijímač je stále zapnutý, vypnout rádio ?"
CONFIRM_RESET_SENSOR,"Hodnota tohoto sensoru bude resetována.\nChcete opravdu pokračovat?"
LATITUDE,"Latitude"
LONGITUDE,"Longitude"
GPS_MAP,"GPS Mapa"
MAP,"Mapa"
INTERNAL_GPS,"Interní GPS"
RAM_AVAILABLE,"RAM available"
CLOCK,"Hodiny"
TRIP,"Cesta"
SYSTEM_EVENT,"Systémová událost"
RSSI_LOW,"Nízké RSSI"
TRAINER_ACTIVE,"Trenér aktivní"
MULTIPLIER,"Násobitel"
VERTICAL,"Vertikální"
HORIZONTAL,"Horizontální"
TOTAL,"Celkem"
CELLS,"Články"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Čárkový graf"
LOG_PERIOD,"Rychlost logování"
RESUME,"Obnovit"
PAUSE,"Pozastavit"
AUTO_RANGE,"Flexibilí rozsah"
LOCK,"Zámek"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Poz"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Poz s vyp"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Poz"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Poz"
GLOBAL,"Globální"
_2DOTS,": "
SUMMARY,"Souhrn"
CONFIRM_STOP_USING_CURVE,"Jste si jisti přestat používat tuto křivku?"
CONFIRM_STOP_USING_RATE,"Jste si jisti přestat používat tento rate?"
PATTERN,"Vzor"
ROLL_ANGLE,"R.Angle"
PITCH_ANGLE,"P.Angle"
HYDRAULIC_PRESSURE,"H.Tlak"
IGNORE_TRAINER_INPUT,"Není ovládáno žákem"
FULL_RANGE,"Full range"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Half range"
LAST_POSITION,"Poslední pozice"
SLEEP_BRIGHTNESS,"Jas během spánku"
TOP_LCD_SLEEP,"Spánek horní obrazovky"
VIEW_PER_CHANNEL,"Zobrazení po kanálech"
VIEW_TABLE,"Tabulkové zobrazení"
GENERAL,"Nastavení"
RX_STILL_ON_TURN_OFF_RF,"Přijímač je stále připojen.\nOpravdu chete pokračovat?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Načíst polohy všech funkčních tlačítek","Načíst polohy všech tlačítek"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Tato operace přepíše pozice všech tlačítek za aktuální. Přejete si pokračovat?"
STORAGE_LOCATION,"Umístení uložiště"
RADIO,"Rádio"
MODELS,"Modely"
USER_BITMAPS,"Uživatelské bitmapy"
SCRIPTS,"Scripty"
LOGS,"Logy"
SCREENSHOTS,"Screenshoty"
PRESSURE,"Tlak"
COLOR,"Barva"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"Nejsou žádne mixy uživající kanál %s. Přejete si smazat název těchto kanálů?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"Nová hodnota kanálů neni kompatibilní s užitím SBUS/redundancy. Opravdu chcete pokračovat?"
VOLTAGE,"Napětí"
SAVE_TO_FILE,"Uložit do souboru"
FLASH_VIDEO_COMPONENT,"Flash Video komponenty"
RX_BAT_VOLTAGE,"Napětí baterie RX"
RX_BAT_2_VOLTAGE,"Napětí baterie RX 2"
EXT_ADC_VOLTAGE,"Externí napětí ADC"
BOARD_CURRENT,"Proud desky"
POWER_ON_RESET,"Reset při zapnutí"
PIN_RESET,"Reset pinu"
WAKE_UP_RESET,"Reset při probuzení"
WATCHDOG_RESET,"Watchdog Reset"
LOCKUP_RESET,"Lockup Reset"
BROWN_DOWN_DET_RESET,"Zjištěn reset selhání napájení"
RX_RESET_CASE,"Kdy resetovat RX"
OPERATION_ASSIGN,"Přiřadit(=)"
OPERATION_ADD,"Přičíst(+)"
OPERATION_SUBTRACT,"Odečíst(-)"
OPERATION_MULTIPLY,"Násobit(*)"
OPERATION_DIVIDE,"Dělit(/)"
SQRT,"Odmocnit"
REPURPOSE,"Změnit funkci trimu"
SENSOR_CONFLICT_WARNING,"Varování konflikt senzorů"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly sestavení, nevhodné k letu!"
READING_FILE,"Načítám soubor ..."
NOT_ENOUGH_MEMORY,"Nedostatek paměti"
CLEAN_LOGS,"Odstranit logy"
CONFIRM_CLEAN_LOGS,"Tato operace odstraní všechny .csv soubory z adresáře. Jste si jisti, že chete pokračovat?"
CLEANING_LOGS,"Odstraňuji logy ..."
PAUSE_CONDITION,"Pauza"
RESET_SETTINGS,"Resetovat nastavení"
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"Nastavení budou obnovena na výchozí hodnoty.\nOpravdu chcete pokračovat?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"Nyní je použit externí modul. Bude zastaven.\nOpravdu chcete pokračovat?"
CONFIRM_SWITCH_TRAINER,"Tréner nyní používá externí modul. Bude zastaven.\nOpravdu chcete pokračovat?"
COMPETITION_OPTION,"Soutěž (pouze RSSI a Baterie)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth nyní používá %s. Bude zastaveno.\nOpravdu chcete pokračovat?"
BOTH_MODULES,"Oba moduly"
SPORT_CONNECTOR,"S.Port konektor"
CONFIRM_SPORT_USED_BY_SSS,"S.Port konektor je nyní používán %s. Jste si jistý, že chcete pokračovat?"
TRAINER_CABLE,"Kabel učitel/žák"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"Externí modul SBUS"
CPPM_EXTERNAL_MODULE,"Externí modul CPPM"
LUA_TASKS,"Úlohy LUA"
LUA_SOURCES,"Zdroje LUA"
MISSING_SCRIPT_FILE,"Chybí soubor skriptu"
BITMAP,"Bitmapa"
BITMAP_TYPE,"Typ bitmapy"
BITMAP_FILE,"Soubor bitmapy"
FILE_PATH,"cesta k souboru"
TEXT,"Text"
DOCUMENTS,"Dokumenty"
USB_MODE_PRESELECTION,"Přednastavení USB módu"
USB_MODE,"USB mód"
JOYSTICK,"Joystick"
SERIAL,"Sériový port"
SELECT_MODEL_AT_POWER_ON,"Vybrat model po zapnutí"
LOAD_MODEL,"Nahrát model"
TELEMETRY_ACTIVE,"Telemetrie aktivní"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Plyn aktivní"
COUNTING_SOURCE,"Zdroj proporcionálního odpočtu"
SEND_FILE,"Pošli soubor"
FILE_TRANSFER,"Přenos souboru"
RECEIVE_FILE_HERE,"Přijmout soubor zde"
WAITING_FOR_CONNECTION,"Čekám na spojení"
CONNECTION_REFUSED,"Spojení odmítnuto"
WAITING_FOR_RECEIVER_CONFIRMATION,"Čekám na potvrzení příjemcem..."
FILE_TRANSFER_FAILED,"Přenos souboru selhal"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Chystáte se přijmout soubor %s do složky %s\nVelikost souboru je %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Chystáte se přepsat soubor %s ve složce %s\nVelikost souboru je %s"
SENDING_SSS,"Posílám %s..."
RECEIVING_SSS,"Přijímám %s..."
SEND_MODEL,"Poslat model"
RECEIVE_MODEL,"Přijmout model"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Používáte stabilizační přijímač od FrSky?"
EMERGENCY,"Nouze"
GAIN_ADJUST,"Úprava zisku"
UNIT_KNOT,"knots"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ASSIGN_INPUT_HINT,"Přiřadte prosím vstupní zdroje pro následující funkce"
CONFIRMATION,"Potvrzení"
ENABLE_XXX,"Enable %s?"
DISABLE_XXX,"Disable %s?"
CONFIRMATION_BEFORE_ACTIVE,"Potvrzení před aktivací"
CONFIRMATION_BEFORE_INACTIVE,"Potvrzení před deaktivací"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Kanál spínače"
WIRELESS,"Bezdrátový"
TIMEOUT,"Časový limit"
NO_ENABLED_MODULE,"Povolte modul, který chcete spárovat s NFC"
GET_MODULE_UUID_FAILED,"Nepodařilo se získat UUID modulu.\nZkontrolujte prosím stav svého modulu!"
BIND_NFC_FAILED,"Nepodařilo se spojit NFC s modulem!"
PROTOCOL_NOT_SUPPORTED,"Aktuální protokol modulu není podporován!"
CONFIRM_DELETE_TRIM,"Opravdu chcete smazat tento extra trim?"
LEFT_STICK,"Levá páka"
RIGHT_STICK,"Pravá páka"
ALL_MOTORS,"Všechny motory"
SELECT,"Vybrat"
SINGLE_MOTOR,"Jeden motor"
STICK_MOTORS,"Sloučit motory"
CONFIRM_DELETE_ACTION,"Opravdu chcete odstranit tuto akci?"
CONFIRM_DELETE_SCREEN,"Opravdu chcete odstranit tuto obrazovku?"
CONFIRM_DELETE_SENSOR,"Opravdu chcete tento senzor odstranit?"
FILE_ALREADY_EXISTS,"Soubor se stejným názvem již existuje"
MODEL_RUNTIME,"Doba běhu modelu"
RADIO_RUNTIME,"Doba běhu rádia"
WAITING_FOR_SIGNAL,"čekám na signál..."
CONFIRM_RESET_RUNTIME,"Čas běhu bude vyresetován.\n Opravdu si přejete pokračovat?"
BANK,"Banka"
POWER_SWITCH,"Power Switch"
CURRENT_AND_VOLTAGE_RATE,"Obn. proudu & napěťí"
BEC_VOLTAGE_RATE,"Obn. napětí BEC"
SBEC_VOLTAGE,"Napětí SBEC"
BATTERY_MODE,"Režim baterie"
SWITCH_VOLTAGE,"Přepnout při"
BALANCE,"Balancovat"
BACKUP,"Záloha"
BALANCE_CHANNELS,"Balancovat serva"
CHOOSE_CHANNELS,"Vybrat kanály"
BALANCE_CURVE,"Balanční křivka"
CONFIRM_TO_SHARE_RECEIVER,"Jste si jisti, že chcete sdílet tento přijímač?"
CONFIRM_TO_UNBIND_RECEIVER,"Jste si jisti, že chcete odpárovat tento přijímač?"
CONFIRM_FRSK_NOT_COMPATIBLE,"Tento soubor FRSK není kompatibilní s Vaším zařízením.\n Opravdu si přejete pokračovat?"
RX_VFR,"Rx VFR"
SMOKE_PUMP_VOLTAGE,"Napětí K.P."
SMOKE_PUMP_CURRENT,"Proud K.P."
SMOKE_PUMP_TEMPERATURE,"Teplota K.P."
SMOKE_PUMP,"Kouřová pumpa"
SOLENOID_VALVE,"Solenoidový ventil"
BIND_CARD,"Párovat NFC čip"
WAITING_FOR_NFC_CARD,"Prosím podržte NFC čip blízko \n NFC spínače pro párování ..."
BIND_CARD_SUCCESS,"Úspěšné párování NFC čipu!"
BIND_CARD_FAIL,"Párování NFC čipu se nezdařilo!"
OVER_CURRENT,"Over current"
READ_MAG_ERROR,"Read mag error"
LOW_VOLTAGE,"Low voltage"
UNKNOWN_ERROR,"Unknown error"
WORKING_MODE,"Working mode"
ANGLE_MODE,"Angle mode"
RANGE_MODE,"Range mode"
ROTATE_MODE,"Rotate mode"
XACT_RANGE,"Range (Range mode only)"
XACT_MAX_ANGLE,"Max angle (Angle mode only)"
POT_GAP,"Pot gap"
