TRANSLATION_NAME,"Deutsch"
STARTING_CALIBRATION,"Kalibrierung starten..."
NO_SD_CARD_WARNING,"Warnung, keine SD Karte"
ADD_CURVE_ERROR,"Kurve hinzufügen fehlgeschlagen!"
STEP,"Schritt"
AILERON,"QR"
ELEVON,"Elevon"
SPACE_WITH_CHANNEL," Kanal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Möchten Sie die Einstellungen der Kanäle %s und %s tauschen?"
INPUT,"Eingang"
ELE_TO_AIL,"HR → QR"
THR_CURVE,"Gas-Kurve"
PITCH_CURVE,"Pitch-Kurve"
THROTTLE_CUT,"Motor AUS"
AIL_TO_RUD,"QR → SR"
ELE_TO_CAMBER,"HR → WLB"
RUD_TO_AIL,"SR → QR"
RUD_TO_ELE,"SR → HR"
AIL_TO_FLAPS,"QR → KLP"
FLAPS_TO_ELE,"WLB → HR"
FREE_MIX,"Freier Mischer"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Servotest"
DELAY_UP,"Verzögerung Oben"
DELAY_MID,"Verzögerung Mitte"
DELAY_DOWN,"Verzögerung Unten"
NO_DELAY,"Verzögerung AUS"
V_TAIL,"V Leitwerk"
DATA_REFUSED,"Daten abgelehnt"
DEVICE_NOT_RESPONDING,"Gerät gibt keine Rückmeldung"
NO_OUTPUT,"keine Ausgabe"
WEIGHT_RATES,"Gewichtung / Anteile"
OTHERWISE,"sonst"
AUTO,"Auto"
TRIM_STEP_FINE,"FEIN"
TRIM_STEP_COARSE,"GROB"
TRIM_STEP_EXPONENTIAL,"EXPONENTIAL"
TRIM_STEP_EXTRA_FINE,"EXTRA FEIN"
TRIM_STEP_MEDIUM,"MITTEL"
TRIM_STEP_CUSTOM,"FREI DEFINIERT"
SCREENSHOT,"Screenshot"
SILENT,"lautlos"
ALARMS_ONLY,"nur Alarm"
OFTEN,"öfter"
ALWAYS,"immer"
NEVER,"nie"
WHEN_TELEMETRY_STREAMING,"Wenn Telemetrie-Übertragung"
VOICE1,"Stimme 1 (Hauptst.)"
VOICE2,"Stimme 2"
VOICE3,"Stimme 3"
NEGATIVE,"negativ"
POSITIVE,"positiv"
THROTTLE_HOLD,"Gasstellung halten"
TRIGGER_VALUE,"Trigger-Wert"
IDLE_OUTPUT_VALUE,"Leerlauf-Wert"
LOW_POSITION_TRIM,"Leerlauf-Trimmung"
AND,"UND"
OR,"ODER"
XOR,"XOR"
SENSORS,"Sensoren"
RECEIVERS,"Receivers"
SERVOS,"Servos"
FLIGHT_SAFETY,"Flight safety"
VARIOMETER,"Variometer"
ALARMS,"Alarme"
SENSOR,"Sensor"
RX_BATT,"Empf.Bat."
RX_CURRENT,"Empf.Strom"
ALTITUDE,"Flughoehe"
VSPEED,"Steigr. Vario"
SELECT_LANGUAGE,"Sprache auswählen"
ONCE,"1x"
FLIGHT_DATA,"Flugdaten"
ALL_TIMERS,"Stoppuhren alle"
WHOLE_TELEMETRY,"Telemetrie gesamt"
REPEAT,"wiederholen"
WAV_FILE,"WAV  Datei"
BUTTERFLY,"Butterfly"
CAMBER,"Wölbklappen"
PITCH_TO_RUD,"Pitch zu Heck"
MISSING_BASIC_MIX,"fehlender Grundmischer"
MISSING_ENOUGH_CHANNEL,"Es stehen nicht genügend Kanäle zur Verfügung!"
NOT_SUIT_FOR_THIS_MODEL,"Dieser Mischer ist für dieses Modell nicht geeignet!"
THR_TO_ELE,"GAS → HR"
THR_TO_RUD,"GAS → SR"
TEMPERATURE,"Temperatur"
DATA_RATE,"Datenrate"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Durchfl. zurücksetzen"
CDI_OFF_SPEED_LIMIT,"CDI Drehzahlbegrenzung"
FLOW_PULSE,"Durchfl.-Impuls"
AUTO_RESET,"Automatisch zurücks."
RESET_RESIDUAL_VOLUME,"Restvolumen zurücks."
RESET_MAX_FLOW,"Max. Durchfluß zurücks."
RESET_AVERAGE_FLOW,"Durchschn. Durchfluß zurücks."
VOLUME_ALARM,"Volume Alarm"
MAX_FLOW_ALARM,"Max. Durchfl. Alarm"
OVER_SPEED_ALARM,"Alarm bei Drehzahlüberschreitung"
FLOW_TRIGGER,"Durchfl. Trigger"
FACTORY_SETTING,"Werkseinstellung"
OVER_TEMP1_ALARM,"Alarm Übertemp. 1"
OVER_TEMP2_ALARM,"Alarm Übertemp. 2"
TEMPERATURE_UNIT,"Temp. °C"
AUTO_SAVE,"Autom. speichern"
GPS_POSITION_DATA_RATE,"Datenrate GPS-Position"
GPS_ALTITUDE_DATA_RATE,"Datenrate GPS-Flughoehe"
GPS_SPEED_DATA_RATE,"Datenrate GPS-Geschw."
GPS_COURSE_DATA_RATE,"Datenrate GPS-Kurs"
GPS_TIME_DATA_RATE,"Datenrate GPS-Zeit"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Basis Flugphase"
SKIP_ON_STARTUP,"Nicht beim Start"
LOW_VALUE_WARNING,Warnschwelle "NIEDRIG"
CRITICAL_VALUE,Warnschwelle "KRITISCH"
UPGRADE_MODULE,"Upgrade Modul"
AUTHENTICATION_FAILURE,"Fehler Authentifikation"
MODULE_NEEDS_UPGRADE,"Modul benötigt Upgrade"
CLEAR,"Name löschen"
MIX_SWITCH_DESCRIPTION,"Auswahl von verschiedenen Möglichkeiten den Mischer aktiv/inaktiv zu schalten."
MIX_WEIGHT_DESCRIPTION,"Der Eingangswert (Quelle), multipliziert mit diesem Wert in Prozent, ergibt den Ausgangswert des Mischers. Dies wird nach der Kurve berechnet"
MIX_CURVE_DESCRIPTION,"Erstellen oder wählen sie eine Kurve für den Mischer. Dies wird vor dem Parameter-Gewicht berechnet"
MIX_DIFFERENTIAL_DESCRIPTION,"Wählen Sie aus wie stark die Differenzierung (-100 bis +100%) des Kanals sein soll."
MIX_OUTPUT_DESCRIPTION,"Wählen sie den Kanal auf den dieser Mischer wirken soll."
MIX_INPUT_DESCRIPTION,"Wählen sie die Steuerquelle um diesen Mischer zu steuern."
MIX_OPERATION_DESCRIPTION,"Wählen sie den Funktionstyp für den Mischer aus: Addieren, Multiplizieren oder Ersetzen."
MIX_REVERSE_DESCRIPTION,"Drehrichtung ändern"
MIX_OFFSET_DESCRIPTION,"Wählen sie einen Offsetwert aus -abweichend von der Mittelstellung-."
MIX_WEIGHTUP_DESCRIPTION,"Servoweg vergrössern"
MIX_WEIGHTDOWN_DESCRIPTION,"Servoweg verkleinern"
MIX_SPEEDUP_DESCRIPTION,"Servogeschwindigkeit erhöhen"
MIX_SPEEDDOWN_DESCRIPTION,"Servogeschwindigkeit verringern"
MIX_LOWPOSTRIM_DESCRIPTION,"Trimmung nur untere Position aktivieren"
HELI_PITCH,"Pitch"
HELI_GYRO,"Kreisel"
MISSING_THROTTLE,"Das Modell hat keine Gasfunktion."
SIX_POSITIONS_SWITCH,"6-Pos. Schalter"
GYRO_X_AXIS,"X Achse"
GYRO_Y_AXIS,"Y Achse"
GYRO_LEFT,"Gyro Left"
GYRO_RIGHT,"Gyro Right"
GYRO_UP,"Gyro Up"
GYRO_DOWN,"Gyro Down"
AILERON_LETTER,"QR"
RUDDER_LETTER,"SR"
ELEVATOR_LETTER,"HR"
THROTTLE_LETTER,"GAS"
NOT,"NICHT"
STICKY,"SR FlipFlop"
EDGE,"Impuls/Übergang nach"
MIDDLE,"Mitte"
NO_CHECK,"nicht geprüft"
CUSTOM,"Benutzer"
HOLD,"Position halten"
NO_PULSES,"kein Impuls"
NOT_SET,"nicht eingestellt"
NO_ENGINE,"kein Motor"
NO_FLAPS,"keine Klappen"
NO_RUDDERS,"kein SR"
NO_ELEVATORS,"kein HR"
NO_AILERONS,"kein QR"
CHANNELS_1,"1 Kanal"
CHANNELS_2,"2 Kanäle"
CHANNELS_3,"3 Kanäle"
CHANNELS_4,"4 Kanäle"
BEEP,"Piepton"
IN_RANGE,"im Ber."
REPLACE,"ersetzen"
USE_A_SOURCE,"Signalquelle verwenden"
CONVERT_TO_VALUE,"in Wert wandeln"
SPECIAL,"Spezial"
MAXIMUM,"Maximum"
MINIMUM,"Minimum"
MOMENTARY,"Taster"
TWO_POS,"2-Pos."
THREE_POS,"3-Pos."
GYRO_CALIBRATION_PLACE_LEVEL,Sender in Position bringen. Dann -weiter- drücken.
GYRO_CALIBRATION_LEFT,Zur LINKEN Seite neigen. Dann -weiter- drücken."
GYRO_CALIBRATION_RIGHT,"Zur RECHTEN Seite neigen. Dann -weiter- drücken."
GYRO_CALIBRATION_NOSE_UP,"Nach OBEN drehen. Dann -weiter- drücken."
GYRO_CALIBRATION_NOSE_DOWN,"Nach UNTEN drehen. Dann -weiter- drücken."
DEFAULT,"Standard"
STRENGTH,"Intensität"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Vario abspielen"
RF_ALWAYS_OFF,"Spezial Modus, HF-Modul ist immer AUS"
STAB_FUNC,"Kreisel Funktion"
RX_PROTOCOL,"Empf. Protokoll"
NO_MAP,"keine Zuordnung"
DIRECTION,"Richtung"
CLOCKWISE,"Uhrzeigersinn"
ANTICLOCKWISE,"gegen den Uhrzeigersinn"
PWM_PULSE_TYPE,"PWM Impuls Typ"
BASIC_CONFIG,"Basis Konfiguration"
RX1_MAP,"Empf. 1   Zuordnung"
RX2_MAP,"Empf. 2   Zuordnung"
RX3_MAP,"Empf. 3   Zuordnung"
ALL_FREQUENCY,"alle Frequenzen"
STICKS_NAME,"Steuerknüppel Name"
CHANNELS_COUNT,"Anzahl Kanäle"
EXT,"EXT."
INT,"INT."
PLACE_RECEIVE_LEVEL,"Horiz., Oberseite ↑"
PLACE_RECEIVE_LEVEL_REVERSE,"Horiz., Oberseite ↓"
PLACE_RECEIVE_LEFT,"Vert., Pins ↑"
PLACE_RECEIVE_RIGHT,"Vert., Pins ↓"
PLACE_RECEIVE_FORWARD,"Horiz., Obers., Pins →"
PLACE_RECEIVE_BACKWARD,"Horiz., Obers., Pins ←"
ADD_A_NEW_WEIGHT,"+ Gewichtung hinzufügen"
ADD_A_NEW_CURVE,"+ Füge eine neue Kurve hinzu"
AUDIO,"Audio"
VOICE,"Stimme"
VAR,"VAR"
VOLUME,"Tank-Volumen"
SAVE_TO_FLASH,"Speichern int. Speicher"
SAVE_TO_FLASH_MESSAGE,"Alle Einstellungen wurden erfolgreich gespeichert!"
TIMER_GENERATOR,"Taktgenerator"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Kanal %d wird von keinem Mix verwendet.\nWollen Sie den Namen löschen?"
EDIT_SSS,"%s bearbeiten"
RESET_SSS,"%s zurücksetz."
OPTIONS_3DOTS,"Optionen..."
QUESTION_COPY_CHANNEL_NAME,"Der Kanal hat keinen Namen.\nMöchten Sie den Namen des Mischers in den Kanal kopieren?"
FLY_BAR_LESS,"Flybarless"
SPEAKER_MUTE,"Lautsprecher AUS"
WING_RUD_ELE_AIL,"Standard"
WING_FLYING,"Delta / Nurflügel"
WING_VTAIL_AIL,"Standard V-Leitwerk"
LEVEL,"Oberseite oben"
LEVEL_REVERSED,"Oberseite unten"
UPRIGHT,"Linke Seite ↑, Ant. in Flugr."
UPRIGHT_REVERSED,"Linke Seite ↓, Ant. in Flugr."
WING_TYPE,"Modelltyp"
MOUNTING_TYPE,"Einbaulage"
SXR_ENABLE,"Kreisel akt. / inakt."
AIL_INVERTED,"QR invert."
AIL2_INVERTED,"QR 2 invert."
ELE_INVERTED,"HR invert."
ELE2_INVERTED,"HR 2 invert."
RUD_INVERTED,"SR invert."
AUX1_ENABLE,"AUX1 K5 EIN=frei - AUS=Stabi QR2"
AUX2_ENABLE,"AUX2 K6 EIN=frei - AUS=Stabi HR2"
QUICK_MODE,"Quick Mode"
SELF_CHECK,"Selbst-Test (K3 <-85%)"
STAB_GAIN_OF_AIL,"Stabi-Mode Empfindl. QR"
STAB_GAIN_OF_ELE,"Stabi-Mode Empfindl. HR"
STAB_GAIN_OF_RUD,"Stabi-Mode Empfindl. SR"
AUTO_LEVEL_GAIN_OF_AIL,"Rettungs-Mode Empfindl. QR"
AUTO_LEVEL_GAIN_OF_ELE,"Rettungs-Mode Empfindl. HR"
HOVER_GAIN_OF_ELE,"Torque-Mode Empfindl. HR"
HOVER_GAIN_OF_RUD,"Torque-Mode Empfindl. SR"
KNIFE_EDGE_GAIN_OF_AIL,"Messerflug-Mode Empfindl. QR"
KNIFE_EDGE_GAIN_OF_RUD,"Messerflug-Mode Empfindl. SR"
AUTO_LEVEL_OFFSET_OF_AIL,"Offset Rettungs-Mode QR"
AUTO_LEVEL_OFFSET_OF_ELE,"Offset Rettungs-Mode HR"
HOVER_OFFSET_ANGLE_OF_ELE,"Offset Hover-Mode HR"
HOVER_OFFSET_ANGLE_OF_RUD,"Offset Hover-Mode SR"
KNIFE_EDGE_OFFSET_OF_AIL,"Offset Messerfl.-Mode QR"
KNIFE_EDGE_OFFSET_OF_RUD,"Offset Messerfl.-Mode SR"
OUTPUT_VOLTAGE,"Ausgangsspannung"
LIPO_VOLTAGE,"Lipo Spannung"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Datenrate -Höhe-"
VARIO_DATA_RATE,"Datenrate -Vario-"
CURRENT_DATA_RATE,"Datenrate -aktuell-"
VOLTAGE_DATA_RATE,"Datenrate -Spannung-"
RPM,"U/min"
POLES_COUNT,"Anzahl Pole"
NEED_FIRMWARE_UPDATE,"Firmeware-Update nötig"
SYSTEM_VALUE,"Systemwert"
GPS_CLOCK,"GPS Zeit"
RACING_MODE_ACTIVE,"Racing Mode aktiv"
RACING_MODE_IS_UNSUPPORTED,"Racing Mode, keine Unterstütz.."
POTS_SLIDERS,"Potis / Sliders"
STICKS_POTS_SLIDERS,"Steuerknüppel / Potis / Sliders"
WRITE_INTERVAL,"Schreibe Intervall"
TX_BATT,"Sender-Batt"
AVERAGE,"Durchschnittswert aus"
TOTALIZE,"Gesamt"
CELL,"Zelle"
CONSUMPTION,"Verb."
DISTANCE,"Abstand"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↓Flanke von %s zw.>%s u. <%s"
RISING_EDGE_OF_SSS_DURING_SSS,"↑Flanke von %s verzögert %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓Flanke von %s verzögert %s"
FALLING_EDGE_OF_SSS,"↓Flanke von %s sofort"
RISING_EDGE_OF_SSS,"↑Flanke von %s sofort"
STALL,"blockiert"
EDITABLE_SRV_DDD_CURR,"SRV%d Strom"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp."
EDITABLE_SRV_DDD_STATUS,"SRV%d Status"
CONDITION,"akti. durch"
TIMER_LOGS,"Stoppuhr logs"
SAVE_TO_SD,"auf SD-K. speich."
CLEAR_LOGS,"lösche Logs"
TITLE,"Titel"
LOWEST,"niedrigste"
COUNT,"Anzahl"
HIGHEST,"höchster"
BLADES,"Blätter"
MAINGEAR_TEETH,"Polzahl"
PINION_TEETH,"Übersetzungsverh."
GEAR,"Getriebe"
PROPELLER,"Propeller"
FLIGHT_VALUE,"Flugphase X"
CURRENT_FLIGHT_MODE,"aktuelle Flugphase"
NO_DESTINATION,"Kein Zielort"
ENT_LONG,"ENT lang"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Empfänger noch an, Sender wirklich ausschalten?"
CONFIRM_RESET_SENSOR,"Der Wert dieses Sensors wird zurückgesetzt.\nSicher, dass Sie fortfahren möchten?"
LATITUDE,"Breitengrad"
LONGITUDE,"Längengrad"
GPS_MAP,"GPS _Karte"
MAP,"Karte"
INTERNAL_GPS,"Internes GPS"
CLOCK,"Zeit"
TRIP,"Trip"
SYSTEM_EVENT,"Sys.-Ereignis"
RSSI_LOW,"RSSI niedrig"
TRAINER_ACTIVE,"Trainer aktiv"
MULTIPLIER,"Multiplikator"
VERTICAL,"vertikal"
HORIZONTAL,"horizontal"
TOTAL,"gesamt"
CELLS,"Zellen"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Liniendiagramm"
LOG_PERIOD,"Log Zeitraum"
RESUME,"fortsetzen"
PAUSE,"Pause"
AUTO_RANGE,"Bereich flexibel"
LOCK,"sperren"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x EIN/AUS"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Pos mit AUS"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Global"
_2DOTS,": "
SUMMARY,"Bedingungen"
CONFIRM_STOP_USING_CURVE,"Sicher das sie diese Kurve nicht mehr verwenden wollen?"
CONFIRM_STOP_USING_RATE,"Sicher das sie diese Rate nicht mehr verwenden wollen?"
PATTERN,"Muster"
ROLL_ANGLE,"R.Winkel"
PITCH_ANGLE,"P.Winkel"
HYDRAULIC_PRESSURE,"Hyd. Druck"
IGNORE_TRAINER_INPUT,"Schülerwert gesperrt"
FULL_RANGE,"Voller Bereich"
IGNORE_RANGE,"Ignoriere Bereich"						   
HALF_RANGE,"Halber Bereich"
SLEEP_BRIGHTNESS,"Helligkeit Ruhe-Modus"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"Ansicht pro Kanal"
VIEW_TABLE,"Ansicht in Tabellenform"
GENERAL,"General"
RX_STILL_ON_TURN_OFF_RF,"Empfänger ist noch eingeschaltet.\nFortfahren?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Alle Funktionsschalter-Positionen laden","Alle FSS laden"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Dieser Vorgang überschreibt alle Funktionsschalter-Positionen mit den aktuellen Positionen. Sicher, dass Sie fortfahren möchten?"
STORAGE_LOCATION,"Speicherort"
RADIO,"Sender"
MODELS,"Modelle"
USER_BITMAPS,"Nutzer Bitmaps"
SCRIPTS,"Scripte"
LOGS,"Logs"
SCREENSHOTS,"Screenshots"
PRESSURE,"Druck"
COLOR,"Farbe"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"Es gibt keine Mischer, die Kanal %s verwenden. Möchten Sie den Namen dieser Kanäle löschen?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"Der neue Servoweg (>125%)ist nicht mit der Verwendung von SBUS/Redundanz kompatibel. Sicher, dass Sie fortfahren möchten?"
VOLTAGE,"Spannung"
SAVE_TO_FILE,"In Datei speichern"
FLASH_VIDEO_COMPONENT,"Flash Video Komponente"
RX_BAT_VOLTAGE,"Empf. Batt.1 Spannung"
RX_BAT_2_VOLTAGE,"Empf. Batt.2 Spannung"
EXT_ADC_VOLTAGE,"Extern ADC Spannung"
BOARD_CURRENT,"Board Strom"
POWER_ON_RESET,"Einschalt-Rücksetzen"
PIN_RESET,"Stift-Rücksetzen"
WAKE_UP_RESET,"Wake Up Rücksetzen"
WATCHDOG_RESET,"Watchdog Rücksetzen"
LOCKUP_RESET,"Sperre Rücksetzen"
BROWN_DOWN_DET_RESET,"Brown Down Erkennung Rücksetzen"
RX_RESET_CASE,"Empfänger zurücksetzen"
OPERATION_ASSIGN,"gleich(=)"
OPERATION_ADD,"addieren(+)"
OPERATION_SUBTRACT,"subtrahieren(-)"
OPERATION_MULTIPLY,"multiplizieren(*)"
OPERATION_DIVIDE,"dividieren(/)"
SQRT,"Sqrt"
REPURPOSE,"wiederverw."
SENSOR_CONFLICT_WARNING,"Sensorkonflikt-Warnung"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly Version, nicht zum Fliegen!"
READING_FILE,"Datei lesen ..."
NOT_ENOUGH_MEMORY,"Nicht genug Speicherplatz"
CLEAN_LOGS,"Logs bereinigen"
CONFIRM_CLEAN_LOGS,"Es werden alle .csv-Dateien in diesem Verzeichnis gelöscht. Sicher, dass Sie fortfahren möchten?"
CLEANING_LOGS,"Logs bereinigen ..."
PAUSE_CONDITION,"Pausenbedingung"
RESET_SETTINGS,"Einstell. zurücks."
SWAP_CHANNELS,"Kanäle tausch."							 
CONFIRM_RESET_SETTINGS,"Die Einstellungen werden auf die Standardwerte zurückgesetzt.\nSicher, dass Sie fortfahren möchten?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"Die Einstellungen werden auf die Standardwerte zurückgesetzt.\nSicher, dass Sie fortfahren möchten?"
CONFIRM_SWITCH_TRAINER,"Der Trainer verwendet jetzt das externe HF-Modul. Er wird gestoppt.\nSicher, dass Sie fortfahren möchten?"
COMPETITION_OPTION,"Wettbew. (nur RSSI u. Batt.)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth wird jetzt von %s verwendet. Es wird beendet.\nSicher, dass Sie fortfahren möchten?"
BOTH_MODULES,"Beide HF-Module"
SPORT_CONNECTOR,"S.Port Anschluss"
CONFIRM_SPORT_USED_BY_SSS,"S.Port-Anschluss wird jetzt von %s verwendet. Sicher, dass Sie fortfahren möchten??"
TRAINER_CABLE,"Trainer Kabel"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"SBUS externes HF-Modul"
CPPM_EXTERNAL_MODULE,"CPPM externes HF-Modul"
LUA_TASKS,"Lua Aufgaben"
LUA_SOURCES,"Lua Quellen"
MISSING_SCRIPT_FILE,"Fehlende Skript-Datei"
BITMAP,"Bitmap"
BITMAP_TYPE,"Bitmap Typ"
BITMAP_FILE,"Bitmap Datei"
FILE_PATH,"Dateipfad"
TEXT,"Text"
DOCUMENTS,"Dokumente"
USB_MODE_PRESELECTION,"USB Modus-Vorwahl"
USB_MODE,"USB Mode"
JOYSTICK,"Joystick"
SERIAL,"seriell"
SELECT_MODEL_AT_POWER_ON,"Modell beim Einsch. auswählen"
LOAD_MODEL,"Modell laden"
TELEMETRY_ACTIVE,"Telemetrie aktiv"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Gas aktiv"
COUNTING_SOURCE,"Proportionale Zeitquelle"
SEND_FILE,"sende Datei"
FILE_TRANSFER,"Dateiübertragung"
RECEIVE_FILE_HERE,"empfange Datei"
WAITING_FOR_CONNECTION,"Warten auf Verbindung"
CONNECTION_REFUSED,"Connection refused"
WAITING_FOR_RECEIVER_CONFIRMATION,"Warten auf die Bestätigung des Empfängers..."
FILE_TRANSFER_FAILED,"Dateiübertragung fehlgeschlagen"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Datei %s wird gerade in Ordner %s\n empfangen. Dateigröße ist %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Überschreiben der Datei %s im Ordner %s\n. Die Dateigröße beträgt %s"
SENDING_SSS,"Senden %s..."
RECEIVING_SSS,"Empfangen %s..."
SEND_MODEL,"Modell senden"
RECEIVE_MODEL,"Modell empfangen"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Nutzen Sie einen Gyro Empfänger von FrSky?"
EMERGENCY,"Rettung"
GAIN_ADJUST,"Gain einst."
UNIT_KNOT,"kn"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"U/min"
ASSIGN_INPUT_HINT,"Bitte weisen Sie den folgenden Funktionen Eingangsquellen zu"
CONFIRMATION,"Bestätigung"
ENABLE_XXX,"Aktivieren %s?"
DISABLE_XXX,"Deaktivieren %s?"
CONFIRMATION_BEFORE_ACTIVE,"wirklich aktivieren?"
CONFIRMATION_BEFORE_INACTIVE,"wirklich deaktivieren?"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Kanal wechseln"
WIRELESS,"Kabellos"
TIMEOUT,"Time out"
NO_ENABLED_MODULE,"Bitte aktivieren Sie das Modul, das Sie mit NFC verbinden möchten"
GET_MODULE_UUID_FAILED,"Modul UUID konnte nicht abgerufen werden.\nBitte überprüfen Sie den Status Ihres Moduls!"
BIND_NFC_FAILED,"NFC kann nicht mit dem Modul verbunden werden!"
PROTOCOL_NOT_SUPPORTED,"Das aktuelle Modulprotokoll wird nicht unterstützt!"
CONFIRM_DELETE_TRIM,"Sicher, dass Sie diese zusätzliche Trimmung löschen möchten??"
LEFT_STICK,"Linker Steuerknüppel"
RIGHT_STICK,"Rechter Steuerknüppel"
ALL_MOTORS,"Alle Motoren"
SELECT,"auswählen"
SINGLE_MOTOR,"Einzel-Motor"
STICK_MOTORS,"Knüppel_Motoren"
CONFIRM_DELETE_ACTION,"Sicher, dass Sie diese Aktion entfernen möchten?"
CONFIRM_DELETE_SCREEN,"Sicher, dass Sie diesen Bildschirm entfernen möchten?"
CONFIRM_DELETE_SENSOR,"Sicher, dass Sie diesen Sensor entfernen möchten?"					   
FILE_ALREADY_EXISTS,"Es gibt einen File mit gleichem Namen"
MODEL_RUNTIME,"Modell Betriebszeit"
RADIO_RUNTIME,"Sender Betriebszeit"
WAITING_FOR_SIGNAL,"wartet auf Signal..."
CONFIRM_RESET_RUNTIME,"Betriebszeit wird zurückgesetzt.\nWirklich zurücksetzen?"
BANK,"Bank"
POWER_SWITCH,"Power Switch"
CURRENT_AND_VOLTAGE_RATE,"Strom- & Spannungs-Rate"
BEC_VOLTAGE_RATE,"BEC Spannungs-Rate"
SBEC_VOLTAGE,"SBEC Spannung"
BATTERY_MODE,"Batterie Mode"
SWITCH_VOLTAGE,"Schalterspannung"
BALANCE,"Balance"
BACKUP,"Backup"
BALANCE_CHANNELS,"Balanc.-Kanäle"
CHOOSE_CHANNELS,"Kanäle auswählen"
BALANCE_CURVE,"Balanc.-Kurve"
CONFIRM_TO_SHARE_RECEIVER,"Sicher, dass Sie diesen Empfänger gemeinsam nutzen wollen?"
CONFIRM_TO_UNBIND_RECEIVER,"Sicher, dass Sie die Bindung dieses Empfängers löschen wollen?"
CONFIRM_FRSK_NOT_COMPATIBLE,"Diese FRSK-Datei ist mit Ihrem Gerät nicht kompatibel.\nSicher, dass Sie fortfahren möchten?"
RX_VFR,"Rx VFR"
